outfit_name,category,subcategory,size,body_shape,color,image_path,style,gendered,brand,item_link
basic top,top,shirt,small,hourglass,white,images/top/1.png,casual,neutral,,
avery top,top,blouse,medium,inverted triangle,black,images/top/2.png,romantic,feminine,,
karen top,top,tank,small,rectangle,gray,images/top/3.png,casual,feminine,,
zipper sweater,top,sweater,large,pear-shaped,beige,images/top/4.png,streetwear,neutral,,
zipper sweater,top,sweater,large,pear-shaped,beige,images/top/4.png,athleisure,neutral,,
plain hoodie,top,hoodie,large,rectangle,off-white,images/top/5.png,streetwear,neutral,,
plain hoodie,top,hoodie,large,rectangle,off-white,images/top/5.png,minimalist,neutral,,
plain hoodie,top,hoodie,large,rectangle,off-white,images/top/5.png,casual,neutral,,
satin gown,formalwear,evening gown,small,hourglass,blue,images/formalwear/2.png,romantic,feminine,,
silk evening gown,formalwear,evening gown,medium,hourglass,black,images/formalwear/3.png,romantic,feminine,,
trench coat,outerwear,coat,large,inverted triangle,black,images/outerwear/3.png,classic,masculine,,
trench coat,outerwear,coat,large,inverted triangle,black,images/outerwear/3.png,vintage,masculine,,
formal terno,formalwear,tuxedo,medium,hourglass,white,images/formalwear/5.png,classic,feminine,,
fur jacket,outerwear,jacket,large,apple-shaped,brown,images/outerwear/1.png,vintage,masculine,,
wool blazer,outerwear,blazer,medium,rectangle,beige,images/outerwear/2.png,vintage,feminine,,
leather coat,outerwear,coat,large,pear-shaped,black,images/outerwear/3.png,minimalist,masculine,,
leather coat,outerwear,coat,large,pear-shaped,black,images/outerwear/3.png,classic,masculine,,
knitted vest,outerwear,vest,medium,rectangle,cream,images/outerwear/4.png,preppy,neutral,,
onitsuka sneaker,footwear,sneaker,free-size,free-shape,cream,images/footwear/1.png,casual,neutral,,
knee high leather boots,footwear,boots,free-size,free-shape,black,images/footwear/2.png,romantic,feminine,,
low heels,footwear,heels,free-size,free-shape,brown,images/footwear/3.png,classic,feminine,,
mary jane shoes,footwear,heels,free-size,free-shape,red,images/footwear/4.png,vintage,feminine,,
mary jane shoes,footwear,heels,free-size,free-shape,red,images/footwear/4.png,casual,feminine,,
stiletto,footwear,heels,free-size,free-shape,black,images/footwear/5.png,casual,feminine,,
summer gym set,activewear,sportswear,medium,pear-shaped,pink,images/activewear/1.png,athleisure,feminine,,
cross backless gym set,activewear,gymwear,small,hourglass,brown,images/activewear/2.png,athleisure,feminine,,
seamless yoga set,activewear,yogawear,large,rectangle,pink,images/activewear/3.png,athleisure,feminine,,
onepiece running gear,activewear,running gear,small,inverted triangle,maroon,images/activewear/4.png,athleisure,feminine,,
straight cut,bottom,pants,medium,rectangle,beige,images/bottom/1.png,casual,neutral,,
denim jeans,bottom,jeans,small,apple-shaped,denim black,images/bottom/2.png,vintage,neutral,,
silk skirt,bottom,skirts,small,hourglass,black,images/bottom/3.png,romantic,feminine,,
jeans shorts,bottom,shorts,medium,inverted triangle,denim blue,images/bottom/4.png,streetwear,neutral,,
flare pants,bottom,leggings,small,pear-shaped,black,images/bottom/5.png,classic,feminine,,
plunging neckline,dress,mini dress,small,hourglass,red,images/dress/1.png,romantic,feminine,,
